filed (Year filed),end (Year end),host (Host state ISO3),caseno (Case no.),parties (Parties to arbitration),direct,execrlc,execrlc_dummy,execrlc_count,home (Home state ISO3),winner,settled,partisan,execnat,home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),venue (Venue or rules adopted),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),ainvst_text (Text on award to investor),"ainvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),annul_end (Year annulment ends),annulstatus (Status of annulment)
2009,2011,JOR,ARB/09/13,International Company for Railway Systems (ICRS) and Privatization Holding Company (PHC) v. Hashemite Kingdom of Jordan,NA,0,NA,NA,KWT,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Kuwait-Jordan BIT, Contract",Transportation (rail),UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,2011,NGA,ARB/07/18,Shell Nigeria Ultra Deep Limited v. Federal Republic of Nigeria,NA,1,0,0,NLD,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Netherlands-Nigeria BIT,Oil and gas,OIL,At least US$500m,500,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1999,2011,POL,n.a.,Vivendi SA and Vivendi Telecom International SA v. Poland,NA,2,NA,1,FRA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Contract with host state,Telecommunications (mobile),TEL,US$3b (and Respondent counterclaim of up to US$400m),3000,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2006,2011,POL,n.a.,Vivendi v. Poland,0,2,NA,1,FRA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,France-Poland BIT,Telecommunications (mobile),TEL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,2011,POL,n.a.,Mercuria Energy Group Limited (Mercuria) v. Poland,0,2,NA,1,CYP,state,0,,0,n.a.,n.a.,n.a.,n.a.,SCC,Energy Charter Treaty,Oil and gas,OIL,US$700m,700,yes,0,0,n.a.,n.a.,n.a.,n.a.
2009,2011,POL,16509/JHN,East Cement for Investment Company v. Poland,NA,2,NA,1,JOR,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICC,Poland-Jordan BIT,Manufacturing (cement),MFG,US$280000,0.3,yes,0,0,no,n.a.,n.a.,n.a.
2009,2011,RUS,n.a.,Cesare Galdabini SpA v. Russian Federation,NA,2,NA,1,ITA,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Italy-Russia BIT,Finance (debt instruments),FIN,unknown,unknown,yes,0,0,n.a.,n.a.,n.a.,n.a.
2010,2011,RWA,ARB/10/10,Olyana Holdings LLC v. Republic of Rwanda,NA,0,NA,NA,USA,Discontinued,NA,,1,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Agricultural enterprise (tea),AGR,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,2011,UKR,n.a.,Remington Worldwide Limited v. Ukraine,NA,2,NA,1,GBR,investor,0,,0,n.a.,n.a.,n.a.,n.a.,SCC,Energy Charter Treaty,Electric power concession (nuclear),UTL,US$35923997.16,36,yes,unknown,unknown,n.a.,n.a.,n.a.,n.a.
2005,2011,CZE,n.a.,Binder v. Czech Republic,0,0,NA,NA,DEU,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Czech Republic-Germany BIT,Cargo services,SER,Czech Koruna 2.3b,406.8,yes,0,0,n.a.,n.a.,n.a.,n.a.
2009,2011,CZE,n.a.,Peter Franz Vocklinghaus v. Czech Republic,0,0,NA,NA,DEU,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Germany-Czech Republic BIT,Tourism (golf course and resort),SER,CZK1b,52,yes,0,0,n.a.,n.a.,n.a.,n.a.
2008,2011,MNG,n.a.,"Sergei Paushok, et al v. Mongolia",0,0,NA,NA,RUS,investor,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Mongolia-Russia BIT,Mining (gold),MIN,unknown,unknown,yes,0,0,n.a.,n.a.,n.a.,n.a.
2008,2011,SVK,n.a.,Alps Finance and Trade AG v. Slovak Republic,0,3,1,2,CHE,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Slovak Republic-Switzerland BIT,Finance (debt instruments),FIN,unknown,unknown,yes,0,0,n.a.,n.a.,n.a.,n.a.
2004,2011,USA,n.a.,"Grand River Enterprises Six Nations Ltd, et al v. United States of America",0,3,1,2,CAN,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,"Manufacturing (cigarettes, tobacco)",MFG,Not less than US$340m,340,yes,0,0,n.a.,n.a.,n.a.,n.a.
2005,2011,GRD,ARB/05/14,RSM Production Corporation v. Grenada,0,3,1,2,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Oil and gas (exploration),OIL,unknown,unknown,yes,0,0,yes,2009,2011,discontinued
2008,2011,VEN,ARB/08/3,"Brandes Investment Partners, LP v. Bolivarian Republic of Venezuela",0,0,NA,NA,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Venezuela Investment Law (1999),Telecommunications (television),TEL,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2003,2011,ARG,ARB/03/15,El Paso Energy International Company v. Argentine Republic,0,3,1,2,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Electric power and hydrocarbon concessions,OIL,"Between US$127m and US$228m, excluding interest and taxes",127,yes,"US$43.03m, plus interest (each party to pay their legal costs and split the arbitration cost)",43,yes,2012,2014,upheld
2007,2011,ARG,ARB/07/17,Impregilo SpA v. Argentine Republic,0,3,1,2,ITA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Italy BIT,Water services concession,UTL,US$100m,100,yes,"US$21.3m, plus interest (each party to pay their legal fees and split the cost of arbitraiton)",21.3,yes,2011,2014,upheld
2007,2011,CAN,55798,Vito G. Gallo v. Canada,0,1,0,0,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,PCA,NAFTA,Waste management,SER,US$355100000 plus costs,355.1,yes,0,0,n.a.,n.a.,n.a.,n.a.
2006,2011,ECU,34877,Chevron Corporation & Texaco Petroleum Corporation v. Republic of Ecuador,0,3,1,2,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,PCA,Ecuador-United States BIT,Oil and gas (exploration),OIL,Up to US$553m plus interest,553,yes,"Award enumerated in two parts: US$77.74m and $18.62m in pre-award interest, plus post-award interest (each party to pay their legal costs and split the costs of arbitration)",96.4,n.a.,n.a.,n.a.,n.a.
2008,2011,EGY,ARB/08/18,Malicorp Limited v. Egypt,0,0,NA,NA,GBR,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Egypt-United Kingdom BIT,Airport,SER,unknown,unknown,yes,0,0,yes,2011,2013,upheld
2009,2011,MKD,ARB/09/10,"EVN AG v. Macedonia, former Yugoslav Republic of",0,0,NA,NA,AUT,settlement,1,,1,n.a.,n.a.,n.a.,n.a.,ICSID,"Austria-Macedonia BIT, Energy Charter Treaty",Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,2011,PER,ARB/07/6,Tza Yap Shum v. Republic of Peru,0,3,1,2,CHN,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,China-Peru BIT,Manufacturing (fish flour),MFG,Approximately US$20m,20,yes,"US$786,306 plus interest; legal costs unclear",0.8,yes,2011,pending,pending
2006,2011,ROM,ARB/06/1,Spyridon Roussalis v. Romania,0,0,NA,NA,GRC,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Greece-Romania BIT,Import/Export (foodstuffs),AGR,Over US$100m,100,yes,0,0,no,n.a.,n.a.,n.a.
2009,2011,SLV,ARB/09/17,"Commerce Group Corp. and San Sebastian Gold Mines, Inc. v. Republic of El Salvador",0,3,1,2,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"CAFTA-DR, El Salvador Investment Law (1999)",Mining,MIN,US$100m,100,yes,0,0,yes,2011,2013,discontinued
2008,2011,SVK,11/1/2009,HICEE v. Slovak Republic,0,3,1,2,NLD,state,0,,0,n.a.,n.a.,n.a.,n.a.,PCA,Netherlands-Slovak Republic BIT,Finance (insurance),SER,unknown,unknown,yes,0,0,n.a.,n.a.,n.a.,n.a.
2006,2011,UKR,ARB/06/18,Joseph Charles Lemire v. Ukraine,0,2,NA,1,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Ukraine-United States BIT, Contract",Broadcasting enterprise (radio),TEL,Approximately US$8m,8,yes,"US$8.7m, plus interest and legal fees",8.7,yes,2011,2013,upheld
2008,2011,UKR,ARB/08/16,GEA Group Aktiengesellschaft v. Ukraine,0,2,NA,1,DEU,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Germany-Ukraine BIT,Oil and gas,OIL,"Approximately US$30m, plus interest",30,yes,0,0,no,n.a.,n.a.,n.a.
2006,2011,TUR,ARB/06/8,Libananco Holdings Co. Limited v. Republic of Turkey,1,0,NA,NA,CYP,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty,Electric power concession,UTL,Up to US$10b,10000,yes,0,0,yes,2011,2013,upheld
