end (Year end),host (Host state ISO3),filed (Year filed),execme_end,execme_filed,v2pariglef_filed,v2pariglef_filed_dummy,v2pariglef_end_dummy,winner,state_lose,settled,v2pariglef_filed_ref,direct,v2pariglef_end,v2pariglef_end_ref1,v2pariglef_end_ref2,caseno (Case no.),parties (Parties to arbitration),direct2,execrlc,execrlc_dummy2,execrlc_dummy,execrlc_count,home (Home state ISO3),partisan,execnat,home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),venue (Venue or rules adopted),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),ainvst_text (Text on award to investor),"ainvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),annul_end (Year annulment ends),annulstatus (Status of annulment)
2004,EGY,2003,NDP,NDP,4.25,0,0,state,0,0,,0,4.19,,,ARB/03/11,Joy Mining Machinery Limited v. Arab Republic of Egypt,1,0,NA,NA,NA,GBR,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Egypt-United Kingdom BIT,Mining (phosphate),MIN,"UK??2.5m, plus interest and the full value of the bank guarantees if not released",4.5,yes,0,0,yes,2005,2005,discontinued
2006,EGY,2002,NDP,NDP,4.25,0,0,state,0,0,,0,4.19,,,ARB/02/9,"Champion Trading Company and Ameritrade International, Inc. v. Arab Republic of Egypt",1,0,NA,NA,NA,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,US-Egypt BIT,Agricultural enterprise (cotton),AGR,US$365m plus interest and costs,365,yes,0,0,no,n.a.,n.a.,n.a.
2008,EGY,2004,NDP,NDP,4.25,0,0,state,0,0,,0,4.19,,,ARB/04/13,Jan de Nul NV & Dredging International NV v. Arab Republic of Egypt,1,0,NA,NA,NA,BELLUX,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Belgium & Luxembourg-Egypt BIT,Dredging operations,SER,Approximately US$70m,70,yes,0,0,no,n.a.,n.a.,n.a.
2008,EGY,2005,NDP,NDP,4.25,0,0,state,0,0,,0,4.19,,,ARB/05/19,Helnan International Hotels A/S v. Arab Republic of Egypt,1,0,NA,NA,NA,DNK,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Denmark-Egypt BIT,Tourism (hotel),SER,Up to ?_42m,50,yes,0,0,yes,2008,2010,partially overturned
2011,EGY,2008,NDP,NDP,4.25,0,0,state,0,0,,0,4.19,,,ARB/08/18,Malicorp Limited v. Egypt,1,0,NA,NA,NA,GBR,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Egypt-United Kingdom BIT,Airport,SER,unknown,unknown,yes,0,0,yes,2011,2013,upheld
2015,ESP,2012,PP,PP,4.6,0,0,state,0,0,AP / PP,0,4.395,,,ARB/12/17,"Inversion y Gestion de Bienes, IGB, S.L. and IGB18 Las Rozas, S.L. v. Kingdom of Spain",1,1,0,0,0,VEN,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Spain-Venezuela BIT,Real estate,RE,EUR25m,31,yes,0,0,no,n.a.,n.a.,n.a.
2016,ESP,2012,PP,PP,4.6,0,0,state,0,0,,0,4.395,,,(SCC Case No. 062/2012),Charanne B.V. and Construction Investments S.a.r.l. v. Spain,1,1,0,0,0,NLD,,0,LUX,n.a.,n.a.,n.a.,SCC,Energy Charter Treaty,Electric power concession (solar),UTL,EUR17m,22,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2016,ESP,2013,PP,PP,4.6,0,0,state,0,0,,0,4.395,,,(SCC Case No. 2013/153),Isolux Infrastructure Netherlands B.V. v. Spain,1,1,0,0,0,NLD,,0,n.a.,n.a.,n.a.,n.a.,SCC,Energy Charter Treaty,Electric power concession (solar),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2001,EST,1999,IL,IL,4.8,0,0,state,0,0,I (Pro Patria Union),0,4.6205,,,ARB/99/2,"Alex Genin, Eastern Credit Limited Inc v. Republic of Estonia",1,1,0,0,0,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,US-Estonia BIT,Banking,FIN,"Enumerated two claims: US$1639344, and between US$50m and US$70m for damages",51.6,yes,0,0,no,n.a.,n.a.,n.a.
2010,GHA,2007,NDC,NPP,3.75,0,1,state,0,0,,0,2.049,,,ARB/07/24,Gustav F W Hamester GmbH & Co KG v. Republic of Ghana,1,3,1,1,2,DEU,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Germany-Ghana BIT,Agricultural enterprise (cocoa),AGR,Over ?_100m,144,yes,0,0,no,n.a.,n.a.,n.a.
2014,GIN,2012,RPG,RPG,5,0,0,state,0,0,5 (2013),1,4.516,,4.516 (2013),ARB/12/8,Societe Industrielle des Boissons de Guinee v. Republic of Guinea,0,0,NA,NA,NA,FRA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Guinean Investment Law (1987), Contract",Beverage production enterprise,MFG,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2015,GNQ,2012,PDGE,PDGE,5.333,0,0,state,0,0,,0,4.814,,,ARB(AF)/12/2,Grupo Francisco Hernando Contreras v. Republic of Equatorial Guinea,1,0,NA,NA,NA,ESP,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,Equatorial Guinea-Spain BIT,Real estate (residential and commercial),RE,EUR450m,600,yes,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2010,HRV,2007,HDZ,HDZ,4,0,0,state,0,0,,0,3.797,,,n.a.,Adria Beteiligungs GmbH v. The Republic of Croatia,1,1,0,0,0,AUT,,1,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Austria-Croatia BIT,Gaming,SER,Approximately US$64m,64,yes,0,0,n.a.,n.a.,n.a.,n.a.
2008,HRV,2004,HDZ,HDZ,4,0,0,state,0,0,,1,3.797,,,n.a.,Ulemek (Select Office Equipment) v. Croatia,0,1,0,0,0,CAN,,1,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Canada-Croatia BIT,Manufacturing (office equipment),MFG,CAD2.6m,3,yes,0,0,n.a.,n.a.,n.a.,n.a.
2014,HUN,2011,FiDeSz-MPSz,FiDeSz-MPSz,3.607,0,0,state,0,0,,0,4.097,,,ARB/11/22,Vigotop Limited v. Hungary,1,1,0,0,0,CYP,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Cyprus-Hungary BIT,Tourism (resort),SER,Range: Between ?_278.3m and ?_312.6m,382.5,yes,0,0,no,n.a.,n.a.,n.a.
2015,HUN,2012,FiDeSz-MPSz,FiDeSz-MPSz,3.6425,0,0,state,0,0,,0,3.547,,4.097 (2014),ARB/12/3,Accession Mezzanine Capital L.P. and DanubiusKereskedohaz Vagyonkezelo Zrt. v. Hungary,1,n.a.,NA,NA,NA,GBR,,0,BMU,n.a.,n.a.,n.a.,ICSID,Hungary-UK BIT,Broadcasting enterprise (radio),TEL,unknown,unknown,no,0,0,no,n.a.,n.a.,n.a.
2014,HUN,2012,FiDeSz-MPSz,FiDeSz-MPSz,3.6425,0,0,state,0,0,,0,4.097,,,ARB/12/2,"Emmis International Holding B.V., Emmis Radio Operating B.V., MEM Magyar Electronic Media Kereskedelmi Szolgaltat?? Kft. v. Hungary",1,1,0,0,0,NLD,,0,CHE,n.a.,n.a.,n.a.,ICSID,"Hungary-Netherlands BIT, Hungary-Switzerland BIT",Broadcasting enterprise (radio),TEL,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2014,IDN,2011,PD,PD,3.167,0,0,state,0,0,,0,3.137,,,ARB/11/13,Rafat Ali Rizvi v. Republic of Indonesia,1,0,NA,NA,NA,GBR,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Indonesia-United Kingdom BIT,Banking,FIN,unknown,unknown,yes,0,0,yes,2013,pending,pending
2014,IDN,2011,PD,PD,3.167,0,0,state,0,0,,0,3.137,,,n.a.,Hesham T. M. Al Warraq v. Republic of Indonesia,1,n.a.,NA,NA,NA,SAU,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,"Agreement on Promotion, Protection and Guarantee of Investments among Member States of the Organisation of the Islamic Conference",Banking,FIN,US$9671060,9.7,yes,0,0,n.a.,n.a.,n.a.,n.a.
2006,KEN,2000,NARC,Kanu,4.25,0,NA,state,0,0,,0,NA,,NA,ARB/00/7,World Duty Free Company Limited v. Republic of Kenya,1,0,NA,NA,NA,GBR,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Duty free concession,SER,Approximately US$500m,500,yes,0,0,no,n.a.,n.a.,n.a.
